"Credit Memo #", "Creditnota nr."
"Date", "Datum"
"Credit To", "Crediteren aan"
"Credit Total", "Totaal crediteren"
"Open Amount", "Openstaand bedrag"

"View Credit Memo", "Creditnota bekijken"

"No credit memos found.", "Er zijn geen creditnota's gevonden."

"Previous", "Vorige"
"Next", "Volgende"



"Credit Memo Date:", "Creditnota datum:"
"Download PDF", "Download PDF"

"Items Credited", "Gecrediteerde producten"
"Product Name", "Product naam"
"SKU", "Artikelnr."
"Price", "Prijs"
"Qty", "Aantal"
"Subtotal", "Subtotaal"

"VAT", "BTW"
"Grand Total", "Totaal"

"Back to My Credit Memos", "Terug naar mijn creditnota's"
"Credit Memo Information", "Creditnota informatie"
"Shipping Address", "Verzendadres"
"Shipping Method", "Verzendmethode"
"Billing Address", "Factuuradres"
"Payment Method", "Betaalmethode"
